fixture_id,timestep,tau,is_post_migration,jaccard,lsh_match,cosine,euclidean,b,r,n_steps,L,invariant_ratio,perturbation_magnitude,entropy_start,entropy_growth_rate,coord_start,coord_slope,seed
hmap_ir8_pm5_0003,3,8,False,0.59375,True,0.9741643832780477,0.28929529202201415,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,4,8,False,0.46875,True,0.9696017029417677,0.261189474061485,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,5,8,False,0.34375,True,0.961479840891636,0.2207770297745756,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,6,8,False,0.25,True,0.9588704057695487,0.2112090718523063,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,7,8,False,0.25,True,0.9534740182131312,0.19111647143852326,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,8,8,True,0.0625,False,0.9381329708633289,0.1339991744124209,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,9,8,True,0.0625,False,0.9320719995204207,0.11803491457466755,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,10,8,True,0.0625,False,0.9240104610861333,0.09315242073552575,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,11,8,True,0.0625,False,0.9254159702064838,0.09100234483769876,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0004,0,8,False,1.0,True,1.0,1.0,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
hmap_ir8_pm5_0004,1,8,False,0.75,True,0.9895993410522178,0.45824116564398604,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,4
