b,r,invariant_ratio,perturbation_magnitude,entropy_growth_rate,tau,mean_jaccard_at_migration,migration_shock_recovery,recovery_rate_stabilized,drift_decay,cosine_at_migration,cosine_stabilized,euclidean_at_migration,euclidean_stabilized
8,4,0.6,0.2,0.1,6,0.21875,0.0,0.0,0.0,0.9835682815446615,0.9757278776307025,0.3083996288163486,0.264627118137868
8,4,0.6,0.2,0.1,8,0.125,0.0,0.0,0.0,0.9677837849617632,0.9587559673293296,0.24468962275785078,0.20704357035020118
8,4,0.6,0.2,0.2,6,0.15625,0.0,0.0,0.0,0.9750339371291531,0.9628349157288145,0.2799855600264065,0.20577987218438912
8,4,0.6,0.2,0.2,8,0.046875,0.0,0.0,0.0,0.9503857678351175,0.9262766431133365,0.1728794614998437,0.11190275214179549
8,4,0.6,0.2,0.243,8,0.03125,0.0,0.0,0.0,0.955259890073748,0.9391720277857319,0.13345384629783147,0.09161069239804256
8,4,0.6,0.2,0.3,6,0.03125,0.0,0.0,0.0,0.9503735622472806,0.9407611299918603,0.09891250998428469,0.07336523780552721
8,4,0.6,0.2,0.3,8,0.0546875,0.0,0.0,0.0,0.924726751808643,0.9076802865787763,0.10156075928131919,0.07221312007670566
8,4,0.6,0.2,0.4,6,0.0,0.0,0.0,0.0,0.9527916704267463,0.8704097066029299,0.15913646745627044,0.03632884999866349
8,4,0.6,0.2,0.4,8,0.0078125,0.0,0.0,0.0,0.9100769973190597,0.8813401705473676,0.07000522716160495,0.04881282464672455
8,4,0.6,0.3,0.243,6,0.0625,0.0,0.0,0.0,0.9677443339838978,0.9474891985076423,0.1965948309576664,0.1201538627199988
8,4,0.6,0.3,0.243,8,0.0546875,0.0,0.0,0.0,0.9325982088727633,0.9195107169588319,0.11945552638962009,0.09776748071397726
8,4,0.6,0.5,0.243,6,0.0625,0.0,0.0,0.0,0.9586652721102259,0.9388322267687023,0.16173973241164155,0.1031973954133421
8,4,0.6,0.5,0.243,8,0.0546875,0.0,0.0,0.0,0.9215055216557161,0.9086010788203123,0.10069585692537983,0.0833847480561872
8,4,0.6,0.7,0.243,6,0.0625,0.0,0.0,0.0,0.9458364199302023,0.926717950424551,0.1253695861600976,0.08382075602434942
8,4,0.6,0.7,0.243,8,0.0546875,0.0,0.0,0.0,0.9065715757412844,0.8941996533848382,0.08052847188589601,0.0675125467933323
8,4,0.6875,0.0,0.243,8,0.09375,0.0,0.0,0.0,0.945121967676589,0.9307949775853018,0.15040543297669146,0.11762473830922483
8,4,0.6875,0.2,0.0,8,0.21875,0.0,0.0,0.0,0.9834876426498614,0.979749008522208,0.3849734396503022,0.34734952082688103
8,4,0.6875,0.2,0.1,6,0.34375,0.0,0.0,0.0,0.9782442253389498,0.9557316546467461,0.291480386498552,0.17727041846361724
8,4,0.6875,0.2,0.2,8,0.09375,0.0,0.0,0.0,0.9504709554651,0.9260680363221888,0.08716960687969856,0.06278817182570504
8,4,0.6875,0.2,0.243,6,0.15625,0.0,0.0,0.0,0.9519865764209194,0.9094946028579622,0.1671053070882725,0.08938575562133451
8,4,0.6875,0.2,0.3,8,0.09375,0.0,0.0,0.0,0.8847102576722615,0.8685345843906769,0.05800957733005745,0.045819305053602724
8,4,0.6875,0.2,0.4,8,0.03125,0.0,0.0,0.0,0.8442716548272946,0.7801581892742772,0.0434162714250223,0.022590782714635466
8,4,0.6875,0.4,0.243,8,0.0625,0.0,0.0,0.0,0.9278714859375038,0.925075521137349,0.10513482874927584,0.10132463269779886
8,4,0.6875,0.6,0.243,8,0.0,0.0,0.0,0.0,0.8953144260609809,0.8753368779102916,0.07732549573646313,0.05172453730115876
8,4,0.6875,0.8,0.243,8,0.0625,0.0,0.0,0.0,0.9235458210924783,0.9012099660815521,0.10388422279162474,0.0733706683249741
8,4,0.8,0.1,0.243,6,0.09375,0.0,0.0,0.0,0.9609509610918344,0.9311048302210482,0.1924440714845006,0.10608607737782495
8,4,0.8,0.1,0.243,8,0.0390625,0.0,0.0,0.0,0.947909054483405,0.9318617703275772,0.15398661848511613,0.11185864768069329
8,4,0.8,0.2,0.0,6,0.5,1.0,0.0,1.0,0.9911481495730599,0.9885104287880571,0.4663532614463861,0.4183586036161493
8,4,0.8,0.2,0.0,8,0.3515625,0.5,0.25,0.25,0.9861975011234044,0.9817024110594502,0.40253045355691536,0.3587212175790776
8,4,0.8,0.2,0.1,6,0.40625,0.0,0.0,0.0,0.9837132609862588,0.972705209709713,0.306828102314793,0.2280993721387723
8,4,0.8,0.2,0.1,8,0.203125,0.0,0.0,0.0,0.9658045762172791,0.9491529485633776,0.23225708693639943,0.16541188376023352
8,4,0.8,0.2,0.2,6,0.15625,0.0,0.0,0.0,0.9675851744263606,0.9338845965846826,0.23300505903409155,0.12643136737309718
8,4,0.8,0.2,0.2,8,0.1484375,0.25,0.0,0.25,0.9418503764185828,0.9296836658944778,0.14296715580595926,0.11349689237505006
8,4,0.8,0.2,0.243,8,0.0625,0.0,0.0,0.0,0.9533721301893572,0.9404131336746416,0.18523997805049164,0.1286165481612463
8,4,0.8,0.2,0.3,6,0.0625,0.0,0.0,0.0,0.9460317899806788,0.8946128954792156,0.1430886091003911,0.06291098097645917
8,4,0.8,0.2,0.3,8,0.0546875,0.0,0.0,0.0,0.9134456969321522,0.8898284462147359,0.08318231921635598,0.05694856161012611
8,4,0.8,0.2,0.4,6,0.09375,0.0,0.0,0.0,0.9380647841963328,0.873646162303545,0.11099303802899159,0.03734543720328663
8,4,0.8,0.2,0.4,8,0.015625,0.0,0.0,0.0,0.8984425385108866,0.8714895240029936,0.07859743955386947,0.05335870850512671
8,4,0.8,0.3,0.243,6,0.09375,0.0,0.0,0.0,0.9544382267181292,0.9233402488605736,0.16935646557798592,0.09413929092156478
8,4,0.8,0.3,0.243,8,0.0390625,0.0,0.0,0.0,0.9408360006008288,0.9246683867059746,0.13378760095062878,0.09734422945621266
8,4,0.8,0.5,0.243,6,0.09375,0.0,0.0,0.0,0.9436373068428736,0.9117334922011827,0.13840335516609184,0.07882861619077536
8,4,0.8,0.5,0.243,8,0.0390625,0.0,0.0,0.0,0.9301002749167536,0.914111017219106,0.10923453799606862,0.08023045515196389
8,4,0.8,0.7,0.243,6,0.09375,0.0,0.0,0.0,0.928771331890993,0.8965283629996654,0.10715608772219852,0.06298554448276752
